ข้อมูลสถานี สถานีบึงขุนทะเล,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,
time,pH,DO (mg/l),EC (µS/cm),WT (°C),Tur (NTU),NH4N (mg/l),Salinity (ppt),BOD (mg/l),COD (mg/l)
30/03/2562 14:30,7.3,4.7,276,31.9,18,0.22,0.12,,
30/03/2562 15:00,7.3,5,275,32.1,20,0.22,0.12,,
30/03/2562 16:30,7.3,5.4,275,31.9,21,0.2,0.12,,
30/03/2562 17:00,7.3,5.5,269,31.7,21,0.22,0.11,,
30/03/2562 17:30,7.3,5.5,273,31.5,19,0.22,0.11,,
30/03/2562 18:00,7.3,5.4,274,31.4,22,0.22,0.11,,
30/03/2562 18:30,7.3,5,275,31.2,21,0.22,0.12,,
30/03/2562 19:00,7.3,4.7,272,31.1,20,0.2,0.11,,
30/03/2562 19:30,7.3,4.8,275,30.9,20,0.2,0.12,,
30/03/2562 20:00,7.3,4.6,276,30.8,19,0.21,0.12,,
30/03/2562 20:30,7.3,4.8,277,30.8,19,0.19,0.12,,
30/03/2562 21:00,7.3,5.2,276,30.7,19,0.2,0.12,,
30/03/2562 21:30,7.2,4.5,277,30.9,18,0.23,0.12,,
30/03/2562 22:00,7.3,4.7,277,30.8,18,0.2,0.12,,
30/03/2562 22:30,7.3,4.9,278,30.7,18,0.25,0.12,,
30/03/2562 23:00,7.3,5,277,30.6,18,0.24,0.12,,
30/03/2562 23:30,7.2,4,285,30.7,19,0.38,0.12,,
31/03/2562 0:00,7.2,4,283,30.5,19,0.35,0.12,,
31/03/2562 1:30,7.2,4.1,278,30.5,22,0.3,0.12,,
31/03/2562 2:00,7.2,4.1,279,30.5,20,0.3,0.12,,
31/03/2562 2:30,7.2,4.2,279,30.6,20,0.29,0.12,,
31/03/2562 3:00,7.2,4.2,277,30.5,20,0.28,0.12,,
31/03/2562 3:30,7.2,4.3,278,30.6,21,0.27,0.12,,
31/03/2562 4:00,7.2,4.3,274,30.6,18,0.27,0.11,,
31/03/2562 4:30,7.2,4.3,273,30.6,18,0.27,0.11,,
31/03/2562 5:00,7.2,4.3,275,30.5,20,0.25,0.12,,
31/03/2562 5:30,7.2,4.3,275,30.5,19,0.25,0.12,,
31/03/2562 6:00,7.2,4.3,275,30.5,19,0.25,0.12,,
31/03/2562 6:30,7.2,4.4,276,30.5,19,0.25,0.12,,
31/03/2562 7:00,7.2,4.4,274,30.6,19,0.24,0.11,,
31/03/2562 7:30,7.2,4.3,274,30.7,20,0.24,0.11,,
31/03/2562 8:30,7.2,4.3,270,30.9,20,0.23,0.11,,
31/03/2562 9:00,7.2,4.1,270,31.1,19,0.23,0.11,,
31/03/2562 9:30,7.2,4,269,31.2,19,0.21,0.11,,
31/03/2562 10:00,7.2,4,269,31.3,18,0.22,0.11,,
31/03/2562 10:30,7.2,4.3,270,31.5,18,0.22,0.11,,
31/03/2562 11:00,7.2,4.5,273,31.6,18,0.25,0.11,,
31/03/2562 11:30,7.2,4.6,272,31.7,18,0.26,0.11,,
31/03/2562 12:00,7.2,4.6,270,31.8,18,0.27,0.11,,
31/03/2562 12:30,7.2,4.7,270,31.5,18,0.25,0.11,,
31/03/2562 13:00,7.3,5,274,31.9,19,0.25,0.11,,
31/03/2562 13:30,7.3,5.4,274,32.2,17,0.25,0.11,,
31/03/2562 14:00,7.3,5.4,274,32.2,18,0.28,0.11,,
31/03/2562 14:30,7.3,5.3,274,31.9,18,0.28,0.11,,
31/03/2562 15:00,7.3,5.3,273,31.8,18,0.25,0.11,,
31/03/2562 15:30,7.4,5.7,274,31.8,18,0.26,0.11,,
31/03/2562 16:00,7.4,5.9,275,31.7,20,0.27,0.12,,
31/03/2562 16:30,7.3,5.4,276,31.5,19,0.27,0.12,,
31/03/2562 17:00,7.3,5.1,275,31.3,19,0.25,0.12,,
31/03/2562 17:30,7.3,4.9,273,31.2,23,0.25,0.11,,
31/03/2562 18:00,7.3,4.8,269,31.2,18,0.25,0.11,,
31/03/2562 18:30,7.3,4.7,272,31,19,0.25,0.11,,
31/03/2562 19:00,7.3,4.5,272,30.9,19,0.26,0.11,,
31/03/2562 19:30,7.3,4.5,272,30.9,18,0.26,0.11,,
31/03/2562 20:00,7.3,4.6,267,30.9,18,0.27,0.11,,
31/03/2562 20:30,7.3,4.6,267,30.9,17,0.25,0.11,,
31/03/2562 21:00,7.3,4.7,269,30.8,19,0.27,0.11,,
31/03/2562 21:30,7.3,4.5,269,30.8,19,0.27,0.11,,
31/03/2562 22:00,7.2,4.4,280,30.7,20,0.41,0.12,,
31/03/2562 22:30,7.2,4.3,277,30.6,19,0.39,0.12,,
31/03/2562 23:30,7.2,4.3,273,30.6,19,0.38,0.11,,
01/04/2562 0:00,7.2,4.2,269,30.6,19,0.35,0.11,,
01/04/2562 1:00,7.2,4.4,275,30.6,18,0.34,0.12,,
01/04/2562 1:30,7.2,4.3,274,30.6,19,0.31,0.11,,
01/04/2562 2:00,7.2,4.3,275,30.6,19,0.32,0.12,,
01/04/2562 2:30,7.2,4.2,274,30.5,19,0.31,0.11,,
01/04/2562 3:00,7.2,4.2,276,30.5,19,0.3,0.12,,
01/04/2562 3:30,7.2,4.2,275,30.5,18,0.3,0.12,,
01/04/2562 4:00,7.2,4.2,273,30.5,18,0.3,0.11,,
01/04/2562 4:30,7.2,4.2,270,30.5,18,0.3,0.11,,
01/04/2562 5:00,7.2,4.3,270,30.4,18,0.31,0.11,,
01/04/2562 5:30,7.2,4.3,270,30.4,17,0.3,0.11,,
01/04/2562 6:00,7.2,4.3,267,30.4,20,0.29,0.11,,
01/04/2562 6:30,7.2,4.3,270,30.4,18,0.29,0.11,,
01/04/2562 7:00,7.2,4.4,273,30.5,18,0.29,0.11,,
01/04/2562 7:30,7.2,4.4,270,30.5,18,0.29,0.11,,
01/04/2562 8:00,7.2,4.4,269,30.7,19,0.29,0.11,,
01/04/2562 8:30,7.2,4.3,272,30.8,19,0.28,0.11,,
01/04/2562 9:00,7.2,4.4,271,30.9,19,0.28,0.11,,
01/04/2562 9:30,7.2,4.3,272,31.1,18,0.26,0.11,,
01/04/2562 10:00,7.2,4.3,269,31.2,20,0.25,0.11,,
01/04/2562 10:30,7.3,4.2,269,31.5,20,0.25,0.11,,
01/04/2562 11:00,7.3,4.2,268,31.7,18,0.24,0.11,,
01/04/2562 11:30,7.2,4.1,268,31.7,11,0.24,0.11,,
01/04/2562 12:00,7.2,4,267,31.9,10,0.23,0.11,,
01/04/2562 12:30,7.3,4.4,268,31.9,10,0.24,0.11,,
01/04/2562 13:00,7.3,4.8,269,31.7,10,0.25,0.11,,
01/04/2562 14:00,7.2,4.8,263,31.2,10,0.26,0.11,,
01/04/2562 14:30,7.3,5,269,31.7,10,0.23,0.11,,
01/04/2562 15:00,7.3,5.2,267,31.8,11,0.26,0.11,,
01/04/2562 15:30,7.3,5.1,268,31.9,11,0.25,0.11,,
01/04/2562 16:00,7.3,5.2,267,31.8,10,0.27,0.11,,
01/04/2562 16:30,7.3,5.4,269,31.7,11,0.26,0.11,,
01/04/2562 17:00,7.3,5.5,270,31.3,9,0.25,0.11,,
01/04/2562 17:30,7.3,5.4,269,31.3,11,0.23,0.11,,
01/04/2562 18:00,7.3,5.5,270,31.2,13,0.24,0.11,,
01/04/2562 18:30,7.4,5.8,272,31.1,10,0.23,0.11,,
01/04/2562 19:00,7.4,5.9,248,31.1,10,0.25,0.1,,
01/04/2562 20:00,7.4,5.6,271,30.9,10,0.26,0.11,,
01/04/2562 20:30,7.3,5.6,274,31,10,0.27,0.11,,
01/04/2562 21:00,7.3,5.4,271,30.8,11,0.28,0.11,,
01/04/2562 21:30,7.3,4.9,275,30.7,10,0.32,0.12,,
01/04/2562 22:00,7.2,4.6,280,30.7,10,0.37,0.12,,
01/04/2562 22:30,7.2,4.6,280,30.7,10,0.36,0.12,,
01/04/2562 23:00,7.2,4.6,279,30.6,10,0.35,0.12,,
01/04/2562 23:30,7.2,4.5,277,30.6,10,0.34,0.12,,
02/04/2562 0:00,7.2,4.5,278,30.6,10,0.33,0.12,,
02/04/2562 0:30,7.2,4.4,278,30.5,10,0.32,0.12,,
02/04/2562 1:00,7.2,4.4,278,30.5,10,0.29,0.12,,
02/04/2562 1:30,7.2,4.3,278,30.5,10,0.31,0.12,,
02/04/2562 2:30,7.2,4.4,275,30.4,10,0.31,0.12,,
02/04/2562 3:00,7.2,4.3,276,30.4,9,0.3,0.12,,
02/04/2562 4:00,7.2,4.3,277,30.3,10,0.31,0.12,,
02/04/2562 4:30,7.2,4.3,277,30.4,9,0.29,0.12,,
02/04/2562 5:00,7.2,4.2,276,30.3,9,0.3,0.12,,
02/04/2562 5:30,7.2,4.2,275,30.3,9,0.3,0.12,,
02/04/2562 6:00,7.2,4.2,275,30.3,9,0.3,0.12,,
02/04/2562 6:30,7.2,4.2,275,30.3,9,0.29,0.12,,
02/04/2562 7:00,7.2,4.2,275,30.4,9,0.28,0.12,,
02/04/2562 7:30,7.2,4.3,269,30.5,9,0.29,0.11,,
02/04/2562 8:00,7.2,4.3,267,30.6,10,0.29,0.11,,
02/04/2562 8:30,7.2,4.3,268,30.9,10,0.3,0.11,,
02/04/2562 9:00,7.2,4.4,268,31,10,0.28,0.11,,
02/04/2562 9:30,7.2,4.2,266,31.1,10,0.28,0.11,,
02/04/2562 10:00,7.2,4.1,267,31.3,10,0.27,0.11,,
02/04/2562 10:30,7.2,4.1,269,31.5,10,0.25,0.11,,
02/04/2562 11:00,7.3,4,255,31.8,10,0.24,0.11,,
02/04/2562 11:30,7.3,3.9,255,31.8,10,0.23,0.11,,
02/04/2562 12:00,7.3,3.9,255,31.8,10,0.21,0.11,,
02/04/2562 12:30,7.3,3.9,257,30.8,10,0.2,0.11,,
02/04/2562 13:00,7.3,4,257,30.2,10,0.17,0.11,,
02/04/2562 13:30,7.3,4.2,260,30.3,10,0.2,0.11,,
02/04/2562 14:00,7.3,4.6,256,30.6,9,0.22,0.11,,
02/04/2562 14:30,7.3,4.6,257,30.6,9,0.25,0.11,,
02/04/2562 15:00,7.3,4.7,264,30.5,9,0.25,0.11,,
02/04/2562 15:30,7.3,4.7,260,30.6,10,0.25,0.11,,
02/04/2562 16:00,7.3,4.8,263,30.6,9,0.26,0.11,,
02/04/2562 16:30,7.3,4.9,264,30.5,9,0.26,0.11,,
02/04/2562 17:00,7.3,4.8,269,30.5,10,0.25,0.11,,
02/04/2562 17:30,7.3,5.1,268,30.5,9,0.24,0.11,,
02/04/2562 18:00,7.3,5.3,268,30.5,9,0.25,0.11,,
02/04/2562 18:30,7.3,5.3,267,30.4,9,0.25,0.11,,
02/04/2562 19:00,7.3,5.4,267,30.4,10,0.26,0.11,,
02/04/2562 19:30,7.3,5.3,267,30.3,10,0.26,0.11,,
02/04/2562 20:00,7.3,5.1,268,30.2,9,0.27,0.11,,
02/04/2562 20:30,7.3,5,267,30.2,9,0.28,0.11,,
02/04/2562 21:00,7.3,4.6,271,30.3,9,0.28,0.11,,
02/04/2562 21:30,7.2,4.4,272,30,10,0.35,0.11,,
02/04/2562 22:00,7.2,4.3,274,29.9,10,0.39,0.11,,
02/04/2562 22:30,7.2,4.3,276,29.9,10,0.4,0.12,,
02/04/2562 23:00,7.2,4.1,275,29.9,10,0.39,0.12,,
02/04/2562 23:30,7.2,4,275,29.8,10,0.37,0.12,,
03/04/2562 0:00,7.2,4.1,273,29.9,10,0.35,0.11,,
03/04/2562 0:30,7.2,4.1,272,29.9,10,0.33,0.11,,
03/04/2562 1:00,7.2,4.1,275,29.9,10,0.34,0.12,,
03/04/2562 1:30,7.2,4,273,29.9,10,0.32,0.11,,
03/04/2562 2:00,7.2,4.1,274,29.9,10,0.31,0.11,,
03/04/2562 2:30,7.2,4.1,274,29.9,10,0.32,0.11,,
03/04/2562 3:30,7.2,3.9,275,29.8,17,0.33,0.12,,
03/04/2562 4:00,7.2,3.8,275,29.6,9,0.36,0.12,,
03/04/2562 4:30,7.2,3.7,274,29.6,8,0.33,0.11,,
03/04/2562 5:30,7.2,3.9,273,29.5,8,0.31,0.11,,
03/04/2562 6:00,7.2,3.9,274,29.5,10,0.31,0.11,,
03/04/2562 6:30,7.2,3.7,275,29.4,9,0.39,0.12,,
03/04/2562 7:00,7.2,3.7,275,29.5,9,0.36,0.12,,
03/04/2562 7:30,7.2,3.8,269,29.6,9,0.34,0.11,,
03/04/2562 8:00,7.2,3.9,269,29.7,9,0.36,0.11,,
03/04/2562 8:30,7.2,3.9,271,30,9,0.35,0.11,,
03/04/2562 9:00,7.2,3.5,271,30.3,9,0.34,0.11,,
03/04/2562 10:00,7.2,3.9,273,30.5,9,0.3,0.11,,
03/04/2562 10:30,7.2,3.8,272,30.7,9,0.3,0.11,,
03/04/2562 11:00,7.2,3.9,272,30.8,9,0.3,0.11,,
03/04/2562 11:30,7.2,3.8,269,31.2,9,0.28,0.11,,
03/04/2562 12:00,7.2,3.8,269,31.2,9,0.27,0.11,,
03/04/2562 12:30,7.2,3.8,269,31.2,9,0.27,0.11,,
03/04/2562 13:00,7.2,3.7,267,31.1,9,0.25,0.11,,
03/04/2562 13:30,7.2,3.5,262,31.1,10,0.25,0.11,,
03/04/2562 14:00,7.2,3.5,267,30.9,10,0.25,0.11,,
03/04/2562 14:30,7.2,3.8,269,30.6,9,0.28,0.11,,
03/04/2562 15:00,7.2,4,268,30.6,9,0.28,0.11,,
03/04/2562 15:30,7.2,4.1,262,31.1,9,0.28,0.11,,
04/04/2562 0:30,7.2,3.8,271,29.9,9,0.34,0.11,,
04/04/2562 1:00,7.2,3.7,268,29.9,9,0.35,0.11,,
04/04/2562 1:30,7.2,3.7,272,29.9,9,0.34,0.11,,
04/04/2562 2:30,7.2,3.6,269,29.7,9,0.35,0.11,,
04/04/2562 3:00,7.2,3.6,262,29.7,8,0.35,0.11,,
04/04/2562 3:30,7.2,3.4,271,29.7,8,0.36,0.11,,
04/04/2562 4:00,7.2,3.4,271,29.7,8,0.36,0.11,,
04/04/2562 4:30,7.2,3.5,264,29.7,8,0.34,0.11,,
04/04/2562 5:00,7.2,3.5,262,29.6,8,0.33,0.11,,
04/04/2562 5:30,7.2,3.5,262,29.5,8,0.33,0.11,,
04/04/2562 6:00,7.2,3.5,255,29.5,8,0.34,0.11,,
04/04/2562 6:30,7.2,3.6,257,29.5,8,0.33,0.11,,
04/04/2562 7:00,7.2,3.5,266,29.6,8,0.34,0.11,,
04/04/2562 7:30,7.2,3.4,264,29.6,9,0.35,0.11,,
04/04/2562 8:00,7.2,3.4,264,29.6,8,0.36,0.11,,
04/04/2562 8:30,7.2,3.6,257,29.8,8,0.41,0.11,,
04/04/2562 9:00,7.2,3.5,258,29.9,8,0.4,0.11,,
04/04/2562 9:30,7.2,3.5,257,30,10,0.38,0.11,,
04/04/2562 10:00,7.2,3.5,259,30.3,8,0.38,0.11,,
04/04/2562 10:30,7.2,3.5,260,30.5,9,0.35,0.11,,
04/04/2562 11:00,7.2,3.5,259,30.7,8,0.34,0.11,,
04/04/2562 11:30,7.2,3.6,260,31,8,0.32,0.11,,
04/04/2562 12:00,7.2,3.7,260,31.1,9,0.34,0.11,,
04/04/2562 12:30,7.2,3.7,259,31.3,8,0.3,0.11,,
04/04/2562 13:00,7.2,3.7,260,31.3,8,0.3,0.11,,
04/04/2562 13:30,7.2,3.7,260,31.4,8,0.3,0.11,,
04/04/2562 14:00,7.2,3.6,259,31.6,8,0.29,0.11,,
04/04/2562 14:30,7.2,3.7,260,31.7,8,0.3,0.11,,
04/04/2562 15:30,7.2,4.3,254,31.5,8,0.34,0.11,,
04/04/2562 16:00,7.2,4.4,259,31.2,8,0.34,0.11,,
04/04/2562 16:30,7.2,4.3,260,31.2,8,0.32,0.11,,
04/04/2562 17:00,7.2,4.4,259,31.1,8,0.31,0.11,,
04/04/2562 17:30,7.2,4.6,259,30.9,8,0.31,0.11,,
04/04/2562 18:00,7.3,4.6,260,30.8,8,0.3,0.11,,
04/04/2562 18:30,7.3,4.7,261,30.7,8,0.3,0.11,,
04/04/2562 19:00,7.3,5.1,257,30.7,9,0.29,0.11,,
04/04/2562 19:30,7.3,5,259,30.7,8,0.32,0.11,,
04/04/2562 20:00,7.3,5,260,30.7,8,0.31,0.11,,
04/04/2562 20:30,7.3,5.1,260,30.6,8,0.32,0.11,,
04/04/2562 21:00,7.3,5.1,260,30.6,8,0.32,0.11,,
04/04/2562 21:30,7.3,5.2,262,30.5,8,0.33,0.11,,
04/04/2562 22:00,7.2,4.5,254,30.4,9,0.52,0.11,,
04/04/2562 23:00,7.2,4.2,266,30.4,9,0.49,0.11,,
04/04/2562 23:30,7.2,4,266,30.3,9,0.47,0.11,,
05/04/2562 0:00,7.2,4,266,30.2,9,0.44,0.11,,
05/04/2562 1:00,7.2,3.9,267,30.2,9,0.42,0.11,,
05/04/2562 1:30,7.2,3.9,265,30.2,9,0.39,0.11,,
05/04/2562 2:00,7.2,3.8,263,30.1,9,0.37,0.11,,
05/04/2562 2:30,7.2,3.8,262,30.1,8,0.37,0.11,,
05/04/2562 3:00,7.2,3.7,259,30.1,8,0.37,0.11,,
05/04/2562 3:30,7.2,3.8,259,30,8,0.38,0.11,,
05/04/2562 4:00,7.2,3.9,264,30,8,0.39,0.11,,
05/04/2562 4:30,7.2,3.9,260,30,8,0.39,0.11,,
05/04/2562 5:00,7.2,4,264,30,8,0.38,0.11,,
05/04/2562 5:30,7.2,4.1,264,30,8,0.38,0.11,,
05/04/2562 6:00,7.2,4,265,30,8,0.38,0.11,,
05/04/2562 6:30,7.2,4.1,266,29.9,9,0.39,0.11,,
05/04/2562 7:00,7.2,4,265,29.9,9,0.39,0.11,,
05/04/2562 7:30,7.2,4,265,30,12,0.39,0.11,,
05/04/2562 8:00,7.2,3.9,267,30.2,8,0.39,0.11,,
05/04/2562 8:30,7.2,3.5,271,30.1,8,0.49,0.11,,
05/04/2562 9:00,7.2,3.4,271,30.3,8,0.48,0.11,,
05/04/2562 9:30,7.2,3.7,271,30.6,8,0.48,0.11,,
05/04/2562 10:00,7.2,3.6,266,30.7,8,0.44,0.11,,
05/04/2562 10:30,7.2,3.6,266,30.8,9,0.42,0.11,,
05/04/2562 11:00,7.2,3.7,265,31,9,0.4,0.11,,
05/04/2562 11:30,7.2,3.9,258,31.2,9,0.4,0.11,,
05/04/2562 12:00,7.2,3.6,259,31,9,0.39,0.11,,
05/04/2562 12:30,7.2,3.5,261,31.6,9,0.35,0.11,,
05/04/2562 13:00,7.2,3.8,260,31.7,9,0.34,0.11,,
05/04/2562 14:00,7.2,3.6,247,32.2,9,0.33,0.1,,
05/04/2562 14:30,7.2,3.7,244,31.9,9,0.33,0.1,,
05/04/2562 15:00,7.2,3.6,245,32.1,9,0.29,0.1,,
05/04/2562 15:30,7.4,5.1,241,32.5,9,0.22,0.1,,
05/04/2562 16:00,7.5,6.5,239,32.7,8,0.32,0.1,,
05/04/2562 16:30,7.4,6.3,244,32.5,8,0.37,0.1,,
05/04/2562 17:00,7.4,6.1,248,32.3,9,0.35,0.1,,
05/04/2562 17:30,7.4,5.9,248,31.9,9,0.37,0.1,,
05/04/2562 18:30,7.4,5.4,252,31.2,9,0.35,0.1,,
05/04/2562 19:00,7.3,5.3,252,31.1,9,0.34,0.1,,
05/04/2562 19:30,7.3,5.1,249,31,9,0.36,0.1,,
05/04/2562 20:00,7.3,5.2,254,31,9,0.33,0.11,,
05/04/2562 20:30,7.3,5.2,257,30.9,9,0.34,0.11,,
05/04/2562 21:00,7.3,5.1,255,31.1,8,0.35,0.11,,
05/04/2562 21:30,7.3,4.8,257,30.8,9,0.36,0.11,,
05/04/2562 22:00,7.3,4.6,264,30.7,9,0.44,0.11,,
05/04/2562 22:30,7.2,4.3,263,30.6,9,0.46,0.11,,
05/04/2562 23:00,7.2,4.3,260,30.6,9,0.44,0.11,,
05/04/2562 23:30,7.2,4.4,259,30.6,10,0.41,0.11,,
06/04/2562 0:00,7.2,4.3,259,30.6,10,0.4,0.11,,
06/04/2562 0:30,7.2,4.4,258,30.9,9,0.38,0.11,,
06/04/2562 1:00,7.3,4.3,257,30.6,10,0.38,0.11,,
06/04/2562 1:30,7.3,4.5,257,30.6,10,0.38,0.11,,
06/04/2562 2:00,7.3,4.4,259,30.6,10,0.36,0.11,,
06/04/2562 3:00,7.3,4,255,30.6,9,0.34,0.11,,
06/04/2562 4:30,7.2,4.2,254,30.3,8,0.36,0.11,,
06/04/2562 5:00,7.2,4.4,254,30.3,9,0.38,0.11,,
06/04/2562 5:30,7.2,4.5,256,30.3,9,0.37,0.11,,
06/04/2562 6:00,7.3,4.4,257,30.3,9,0.38,0.11,,
06/04/2562 6:30,7.2,4.4,255,30.3,10,0.39,0.11,,
06/04/2562 7:00,7.2,4.2,255,30.3,10,0.38,0.11,,
06/04/2562 7:30,7.2,4.2,257,30.3,10,0.39,0.11,,
06/04/2562 8:00,7.2,4.2,256,30.4,10,0.41,0.11,,
06/04/2562 8:30,7.2,4.3,259,30.5,9,0.41,0.11,,
06/04/2562 9:00,7.2,4.3,262,30.7,9,0.39,0.11,,
06/04/2562 9:30,7.2,3.9,266,30.6,8,0.5,0.11,,
06/04/2562 10:30,7.2,4,262,31.1,8,0.46,0.11,,
06/04/2562 11:00,7.2,4.1,256,31.2,9,0.45,0.11,,
06/04/2562 11:30,7.2,4,256,31.4,9,0.39,0.11,,
06/04/2562 12:00,7.2,4.2,245,31.6,9,0.38,0.1,,
06/04/2562 12:30,7.2,4.3,251,31.7,9,0.39,0.1,,
06/04/2562 13:00,7.3,4.3,252,31.7,10,0.37,0.1,,
06/04/2562 13:30,7.3,4.2,253,31.9,10,0.36,0.11,,
06/04/2562 14:00,7.3,4.2,252,32.1,10,0.34,0.1,,
06/04/2562 14:30,7.3,4,252,32.2,10,0.33,0.1,,
06/04/2562 15:00,7.3,4.1,252,32.2,9,0.33,0.1,,
