ข้อมูลสถานี สุราษฎร์ธานี,,,,,,,,,
หน่วยงาน กรมควบคุมมลพิษ,,,,,,,,,
time,pH,DO (mg/l),EC (µS/cm),WT (°C),Tur (NTU),NH4N (mg/l),Salinity (ppt),BOD (mg/l),COD (mg/l)
14/04/2565 0:00,8.7,4.4,127.81,28.8,,,0.05,,
14/04/2565 0:30,8.7,4.5,102.25,28.8,,,0.04,,
14/04/2565 1:00,8.7,4.4,153.37,28.8,,,0.06,,
14/04/2565 1:30,8.7,4.4,102.25,28.8,,,0.04,,
14/04/2565 2:00,8.7,4.4,127.81,28.7,,,0.05,,
14/04/2565 2:30,8.7,4.4,153.37,28.7,,,0.06,,
14/04/2565 3:00,8.7,4.4,127.81,28.6,,,0.05,,
14/04/2565 3:30,8.7,4.5,102.25,28.6,,,0.04,,
14/04/2565 4:00,8.7,4.5,102.25,28.6,,,0.04,,
14/04/2565 4:30,8.7,4.5,102.25,28.6,,,0.04,,
14/04/2565 5:00,8.7,4.7,102.25,28.6,,,0.04,,
14/04/2565 5:30,8.7,4.9,76.69,28.6,,,0.03,,
14/04/2565 6:00,8.8,5.1,127.81,28.7,,,0.05,,
14/04/2565 6:30,8.8,5.1,102.25,28.6,,,0.04,,
14/04/2565 7:00,8.7,4.5,127.81,28.6,,,0.05,,
14/04/2565 7:30,8.7,4.4,102.25,28.6,,,0.04,,
14/04/2565 8:00,8.7,4.4,127.81,28.6,,,0.05,,
14/04/2565 8:30,8.7,4.7,127.81,28.7,,,0.05,,
14/04/2565 9:00,8.7,4.8,127.81,28.9,,,0.05,,
14/04/2565 9:30,8.7,4.7,127.81,28.8,,,0.05,,
14/04/2565 10:00,8.7,4.7,178.94,28.9,,,0.07,,
14/04/2565 10:30,8.7,4.7,230.06,28.9,,,0.09,,
14/04/2565 11:00,8.7,4.7,306.75,29,,,0.13,,
14/04/2565 11:30,8.7,4.4,255.62,29,,,0.11,,
14/04/2565 12:00,8.6,4.4,511.25,29,,,0.23,,
14/04/2565 12:30,8.5,4.5,"1,840.49",29.6,,,0.91,,
14/04/2565 13:00,8.5,4.7,"2,377.30",29.7,,,1.21,,
14/04/2565 13:30,8.6,4.8,"2,019.43",29.6,,,1.01,,
14/04/2565 14:00,8.7,5.3,"1,610.43",29.9,,,0.79,,
14/04/2565 14:30,8.7,5.1,715.75,29.8,,,0.33,,
14/04/2565 15:00,8.8,5.1,332.31,29.7,,,0.14,,
14/04/2565 15:30,8.8,5.1,230.06,29.8,,,0.09,,
14/04/2565 16:00,8.8,5,127.81,29.7,,,0.05,,
14/04/2565 16:30,9,6.6,"4,959.10",31.3,,,2.69,,
14/04/2565 17:00,9,6.7,"4,933.54",31.5,,,2.68,,
14/04/2565 17:30,8.3,6.7,0,30.8,,,0,,
14/04/2565 18:00,8.4,6.7,0,30.1,,,0,,
14/04/2565 18:30,8.4,6.8,0,29.4,,,0,,
14/04/2565 19:00,8.5,6.8,0,29.1,,,0,,
14/04/2565 19:30,8.5,6.8,0,29.1,,,0,,
14/04/2565 20:00,8.5,6.9,0,28.7,,,0,,
14/04/2565 20:30,8.5,6.9,0,28.3,,,0,,
14/04/2565 21:00,8.5,7,0,27.9,,,0,,
14/04/2565 21:30,9.3,7,0,29.2,,,0,,
14/04/2565 22:00,8.8,4.6,153.37,29.2,,,0.06,,
14/04/2565 22:30,8.8,4.5,127.81,29.2,,,0.05,,
14/04/2565 23:00,8.7,4.5,153.37,29.2,,,0.06,,
14/04/2565 23:30,8.7,4.4,127.81,29.2,,,0.05,,
15/04/2565 0:00,8.7,4.4,178.94,29.2,,,0.07,,
15/04/2565 0:30,8.7,4.4,153.37,29.2,,,0.06,,
15/04/2565 1:00,8.7,4.3,178.94,29.2,,,0.07,,
15/04/2565 1:30,8.7,4.4,178.94,29.2,,,0.07,,
15/04/2565 2:00,8.7,4.5,178.94,29.2,,,0.07,,
15/04/2565 2:30,8.7,4.6,178.94,29.1,,,0.07,,
15/04/2565 3:00,8.7,4.8,127.81,29.1,,,0.05,,
15/04/2565 3:30,8.7,4.8,153.37,29.1,,,0.06,,
15/04/2565 4:00,8.7,4.7,153.37,29,,,0.06,,
15/04/2565 4:30,8.7,4.7,153.37,28.9,,,0.06,,
15/04/2565 5:00,8.7,4.8,102.25,28.8,,,0.04,,
15/04/2565 5:30,8.7,4.7,51.13,28.6,,,0.02,,
15/04/2565 6:00,8.7,4.7,102.25,28.6,,,0.04,,
15/04/2565 6:30,8.7,4.6,76.69,28.5,,,0.03,,
15/04/2565 7:00,8.7,4.4,127.81,28.5,,,0.05,,
15/04/2565 7:30,8.7,4.3,51.13,28.6,,,0.02,,
15/04/2565 8:00,8.7,4.6,127.81,28.5,,,0.05,,
15/04/2565 8:30,8.7,4.5,102.25,28.6,,,0.04,,
15/04/2565 9:00,8.7,4.6,76.69,28.8,,,0.03,,
15/04/2565 9:30,8.7,4.4,102.25,28.7,,,0.04,,
15/04/2565 10:00,8.8,4.8,102.25,29.2,,,0.04,,
15/04/2565 10:30,8.8,4.9,102.25,29.5,,,0.04,,
15/04/2565 11:00,8.7,4.9,102.25,29.7,,,0.04,,
15/04/2565 11:30,8.8,4.8,127.81,29.7,,,0.05,,
15/04/2565 12:00,8.8,4.6,127.81,29.4,,,0.05,,
15/04/2565 12:30,8.7,4.7,204.5,29.7,,,0.08,,
15/04/2565 13:00,8.6,4.5,613.5,29.4,,,0.28,,
15/04/2565 13:30,8.6,4.6,945.81,29.6,,,0.44,,
15/04/2565 14:00,8.6,5,843.56,29.8,,,0.39,,
15/04/2565 14:30,8.8,5.3,434.56,29.7,,,0.19,,
15/04/2565 15:00,8.8,5.4,178.94,29.8,,,0.07,,
15/04/2565 15:30,8.8,5.3,127.81,29.8,,,0.05,,
15/04/2565 16:00,8.8,5.2,102.25,29.7,,,0.04,,
15/04/2565 16:30,9,6.7,"4,933.54",31.9,,,2.68,,
15/04/2565 17:00,8.7,6.7,0,31.5,,,0,,
15/04/2565 17:30,8.3,6.7,0,31.3,,,0,,
15/04/2565 18:00,8.3,6.7,0,30.7,,,0,,
15/04/2565 18:30,8.4,6.7,0,30.2,,,0,,
15/04/2565 19:00,8.4,6.8,0,29.9,,,0,,
15/04/2565 19:30,8.5,6.8,0,29.8,,,0,,
15/04/2565 20:00,8.6,6.8,0,29.2,,,0,,
15/04/2565 20:30,8.2,6.8,0,28.8,,,0,,
15/04/2565 21:00,8.7,4.6,127.81,29.3,,,0.05,,
15/04/2565 21:30,8.7,4.5,76.69,29.4,,,0.03,,
15/04/2565 22:00,8.7,4.5,127.81,29.4,,,0.05,,
15/04/2565 22:30,8.7,4.4,153.37,29.4,,,0.06,,
15/04/2565 23:00,8.7,4.3,102.25,29.4,,,0.04,,
15/04/2565 23:30,8.7,4.5,127.81,29.3,,,0.05,,
16/04/2565 0:00,8.7,4.5,153.37,29.4,,,0.06,,
16/04/2565 0:30,8.7,4.4,127.81,29.3,,,0.05,,
16/04/2565 1:00,8.7,4.4,153.37,29.3,,,0.06,,
16/04/2565 1:30,8.7,4.5,178.94,29.3,,,0.07,,
16/04/2565 2:00,8.7,4.6,178.94,29.4,,,0.07,,
16/04/2565 2:30,8.7,4.8,178.94,29.4,,,0.07,,
16/04/2565 3:00,8.7,4.8,153.37,29.3,,,0.06,,
16/04/2565 3:30,8.7,4.9,127.81,29.2,,,0.05,,
16/04/2565 4:00,8.7,5,76.69,29.2,,,0.03,,
16/04/2565 4:30,8.7,5,102.25,29.1,,,0.04,,
16/04/2565 5:00,8.7,5,76.69,29,,,0.03,,
16/04/2565 5:30,8.7,5,102.25,29,,,0.04,,
16/04/2565 6:00,8.7,4.9,102.25,29,,,0.04,,
16/04/2565 6:30,8.7,4.9,127.81,29,,,0.05,,
16/04/2565 7:00,8.7,5,76.69,29,,,0.03,,
16/04/2565 7:30,8.7,4.9,127.81,29,,,0.05,,
16/04/2565 8:00,8.7,4.9,102.25,29,,,0.04,,
16/04/2565 8:30,8.7,4.9,102.25,29.1,,,0.04,,
16/04/2565 9:00,8.7,4.9,102.25,29.2,,,0.04,,
16/04/2565 9:30,8.7,4.8,76.69,29.2,,,0.03,,
16/04/2565 10:00,8.7,4.8,102.25,29.4,,,0.04,,
16/04/2565 10:30,8.7,5,102.25,29.7,,,0.04,,
16/04/2565 11:00,8.7,4.8,102.25,29.8,,,0.04,,
16/04/2565 11:30,8.7,4.7,76.69,29.9,,,0.03,,
16/04/2565 12:00,8.7,4.5,102.25,29.5,,,0.04,,
16/04/2565 12:30,8.7,4.5,102.25,29.2,,,0.04,,
16/04/2565 13:00,8.7,4.5,102.25,29.6,,,0.04,,
16/04/2565 13:30,8.7,5,127.81,30.1,,,0.05,,
16/04/2565 14:00,8.7,4.7,127.81,29.6,,,0.05,,
16/04/2565 14:30,8.7,4.7,102.25,29.7,,,0.04,,
16/04/2565 15:00,8.7,5,102.25,30,,,0.04,,
16/04/2565 15:30,8.7,5,102.25,30,,,0.04,,
