ข้อมูลสถานี TP01,,,,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,,,,
time,HARD (mg/l),Fe (mg/l),Cd (µg/l),Cr (µg/l),Mn (mg/l),Ni (µg/l),Pb (µg/l),Zn (mg/l),Cu (µg/l),Hg (µg/l),As (µg/l),Cn (µg/l)
21/02/2554 16:10,"2,328.00",,,,0.13,,,0.44,0.11,,,
23/05/2554 10:00,203,,,,,,,,,,,
08/08/2554 9:50,378,,,,,,,,,,,
14/12/2554 9:20,138,,,,,,,,,,,
21/05/2555 14:40,"1,180.70",,ND,ND,0.02,<4.0,1,0.07,50,<0.5,1.3,
03/09/2555 14:30,679,,ND,ND,,<4.0,,,,<0.5,0.3,
11/12/2555 16:40,"1,477.80",,0.5,<7,0.1,,<5,0.48,220,,,
06/02/2557 15:15,"1,731.80",0.58,2.3,<10,<0.10,<10,65,<0.10,<10,<0.5,<10,
29/05/2557 16:00,"1,303.70",,<1.0,<10,0.13,<10,16,<0.10,<10,,,
07/08/2557 8:40,260.5,1.5,3.7,<10,<0.10,<10,<10,<0.10,<10,<0.50,<10,
25/12/2557 15:10,70.2,2.29,<3,8,0.07,<10,<10,<0.05,<3,<0.5,<10,
19/02/2558 15:55,"1,930.50",0.2,<3,<4,0.05,20,<10,<0.05,<3,1.2,<10,
21/05/2558 15:20,128,1.16,<3,4,<0.01,<10,<10,0.26,<3,<0.5,<10,
19/08/2558 9:20,53,2.63,<3,<4,0.08,20,<10,<0.05,<3,<0.5,<10,
24/12/2558 15:20,354,1.61,<3,<4,0.04,20,<10,<0.05,<3,1.5,<10,
18/02/2559 15:30,"2,606.00",0.25,<3,<4,0.03,60,<10,<0.05,<3,0.9,<10,
08/04/2559 15:35,42,2.1,<3,<4,0.07,<10,<10,<0.05,<3,<0.50,<10,
01/12/2559 16:00,"1,006.00",<0.04,<3,<4,0.02,<10,<10,<0.05,<3,0.8,<10,
05/12/2559 14:45,"3,797.00",0.61,<3,<4,0.08,<100,<50,<0.05,<3,0.68,<10,
09/02/2560 15:35,196,1.59,<3,<4,0.06,20,<10,<0.05,<3,<0.5,<10,
25/05/2560 15:35,75,4.1,<3,4,0.09,30,<10,<0.05,<3,<0.5,<10,
20/07/2560 15:50,105,1.43,<3,<4,0.03,50,<10,<0.05,<3,1.6,<10,
09/11/2560 16:00,423,1.61,<3,<4,0.04,20,<10,<0.05,<3,<0.5,<10,
15/02/2561 15:05,"2,738.00",0.45,<3,7,0.03,<10,<10,<0.05,10,<0.5,10,
10/05/2561 16:05,"1,284.00",0.95,<3,<4,0.04,<10,<10,<0.05,3,0.9,<10,
12/07/2561 16:00,34,4.21,<3,5,0.07,<10,<10,<0.05,<3,0.07,<10,
22/11/2561 15:30,873,1.06,<3,5,0.07,<10,<10,<0.05,<3,1.3,<10,
14/02/2562 16:00,"1,274.00",0.24,<3,<4,0.03,<10,<10,<0.05,<3,1.1,<10,
16/05/2562 16:00,116,0.33,<3,<4,0.05,<10,<10,<0.05,<3,1,<10,
05/08/2562 16:00,"1,935.00",1.44,<3,<4,0.08,<10,<10,<0.05,<3,<0.5,<10,
09/01/2563 7:50,"2,638.00",0.47,<3,<4,0.05,<10,<10,<0.05,<3,<0.5,<10,
17/02/2563 7:40,"3,104.00",1.27,<3,11,0.04,<10,<10,<0.05,<3,<0.5,<10,
09/06/2563 7:25,"1,682.00",2.89,<3,<4,0.12,<10,<10,<0.05,<3,<0.5,<10,
21/07/2563 8:55,"1,086.00",7.61,<3,10,0.4,<10,<10,<0.05,<3,<0.5,<10,
02/12/2563 17:05,160,3.88,<3,<10,0.11,20,<10,<0.05,<3,<0.5,<10,
16/02/2564 9:10,"1,545",0.23,<3,4,0.05,<10,<10,<0.05,<3,<0.5,<10,
18/05/2564 8:41,"1,657",1.12,<3,<4,0.09,<10,<10,<0.05,<3,<0.5,<10,
13/07/2564 7:42,644,3.06,<3,<4,0.11,<10,<10,<0.05,4,<0.5,<10,
23/11/2564 7:00,54,1.45,<3,<4,0.04,<10,<10,<0.05,<20,<0.5,<10,
