ข้อมูลสถานี TP09,,,,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,,,,
วันที่,HARD (mg/l),Fe (mg/l),Cd (µg/l),Cr (µg/l),Mn (mg/l),Ni (µg/l),Pb (µg/l),Zn (mg/l),Cu (µg/l),Hg (µg/l),As (µg/l),Cn (µg/l)
22/02/2554 13:00,77,,,,0.05,,,0.27,0.02,,,
24/05/2554 13:10,67,,,,,,,,,,,
09/08/2554 12:50,76,,,,,,,,,,,
15/12/2554 13:00,59,,,,,,,,,,,
04/09/2555 13:00,59.3,,,,,<4.0,,,,<0.5,2.7,
12/12/2555 13:35,76.7,,<0.5,7.4,0.15,,5.3,0.44,170,,,
05/02/2557 13:45,93,1.1,1,<10,<0.10,<10,<10,<0.10,<10,<0.5,<10,
28/05/2557 13:30,60.1,,2.1,<10,<0.10,<10,12,<0.10,<10,<0.5,<10,
06/08/2557 13:40,70.6,,2,<10,<0.10,<10,<10,<0.10,<10,<0.50,<10,
24/12/2557 12:15,44.1,2.07,<3,36,0.06,<10,<10,<0.05,<3,<0.5,<10,
18/02/2558 13:00,125.7,1.03,<3,<4,0.12,<10,<10,<0.05,<3,<0.50,<10,
08/05/2558 12:15,63,2.5,<3,<4,0.08,20,<10,<0.05,<3,0.6,<10,
20/05/2558 13:40,58,2.25,<3,10,0.01,<10,<10,0.21,10,<0.5,<10,
23/12/2558 13:15,70,2.08,<3,<4,0.1,<10,<10,0.06,<3,<0.5,<10,
16/02/2559 13:20,<10,0.22,<3,<4,<0.01,<10,<10,<0.05,<3,<0.5,<10,
08/03/2559 13:50,74,2.32,<3,4,0.12,<10,<10,<0.05,<3,<0.50,<10,
18/05/2559 12:00,167,7.86,<3,<4,0.27,<100,<50,<0.05,<3,0.68,<10,
30/11/2559 13:50,73,2.89,<3,<4,0.11,<10,<10,<0.05,<3,<0.5,<10,
08/02/2560 13:45,58,2.29,<3,<4,0.17,10,<10,<0.05,<3,0.8,<10,
24/05/2560 13:50,49,5.15,<3,6,0.11,20,<10,<0.05,<3,<0.5,<10,
19/07/2560 13:50,52,2.13,<3,<4,0.09,70,<10,<0.05,<3,0.8,<10,
08/11/2560 14:00,81,2.08,<3,<4,0.1,<10,<10,0.06,<0.5,<0.5,<10,
14/02/2561 14:10,106,2.19,<3,<4,0.11,<10,<10,<0.05,<3,<0.5,<10,
09/05/2561 14:10,75,2.28,<3,<4,0.09,<10,<10,<0.05,<3,<0.5,<10,
11/07/2561 14:00,77,3.67,<3,<4,0.1,<10,<10,<0.05,<3,<0.5,<10,
21/11/2561 14:00,70,3.22,<3,8,0.12,<10,<10,<0.05,<3,0.8,<10,
13/02/2562 13:50,102,1.28,<3,<4,0.1,10,<10,<0.05,<3,0.5,<10,
15/05/2562 13:50,"1,072.00",2.57,<3,<4,0.11,20,<10,<0.05,<3,<0.5,<10,
01/08/2562 14:00,101,1.14,<3,<4,0.07,<10,<10,<0.05,<3,0.7,<10,
08/01/2563 10:00,242,0.55,<3,<4,0.61,10,20,<0.05,3,<0.5,<10,
13/02/2563 9:35,140,1.21,<3,<4,0.09,<10,<10,<0.05,<3,<0.5,<10,
10/06/2563 11:40,91,3.1,<3,4,0.09,<10,<10,<0.05,<3,<0.5,<10,
22/07/2563 12:55,58,4.4,<3,6,0.09,<10,<10,<0.05,<3,<0.5,<10,
03/12/2563 13:05,35,4.11,<3,<10,0.08,10,<10,<0.05,<3,<0.5,<10,
17/02/2564 12:30,120,0.97,<3,<4,0.09,<10,<10,<0.05,<3,0.8,<10,
19/05/2564 12:15,65,2.42,<3,4,0.1,<10,<10,<0.05,<3,<0.5,<10,
14/07/2564 8:08,49,3.28,<3,6,0.06,<10,<10,<0.05,3,0.6,<10,
24/11/2564 11:30,49,2.94,<3,5,0.04,<10,<10,<0.05,<20,<0.5,<10,
