ข้อมูลสถานี TP09,,,,,,,,,,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,,,,,,,,,,
วันที่,pH,DO (mg/l),BOD (mg/l),TCB (MPN/100mL),FCB (MPN/100mL),TP (mg/l),NO3-N (mg/l),NO2-N (mg/l),NH3-N (mg/l),TKN (mg/l),WQI,SS (mg/l),TS (mg/l),TDS (mg/l),WT (°C),AT (°C),EC (µS/cm),Tur (NTU)
22/02/2554 13:00,8,6,2.4,"1,100",68,0.09,,,0.14,,65,34,140,106,30.7,33.1,180,10
24/05/2554 13:10,7.7,6.6,1,"1,300",170,0.15,0.27,0.01,0.01,,89,46,150,104,32.5,34.6,170,15
09/08/2554 12:50,8,6.9,1.8,"1,300","1,300",0.07,0.22,<0.01,<0.05,,71,32,146,114,32.9,35.2,0.19,10
15/12/2554 13:00,7.6,5.8,0.8,"3,500","1,300",0.13,0.21,0.01,<0.05,,70,53,"1,765","1,712",29.4,32.8,140,20
04/09/2555 13:00,7.5,5.6,1.6,"2,800",330,0.06,1.3,<0.01,<0.05,,71,28,116,88,30.4,33.4,180,76
12/12/2555 13:35,7.5,4.3,3.2,"160,000","5,400",0.07,1.2,<0.01,<0.05,,58,250,405,155,28.1,31,120,40
05/02/2557 13:45,7.9,7.6,2.6,"5,400","2,200",0.37,4.58,0.03,<0.05,,60,26,181,155,27.1,31.7,,
28/05/2557 13:30,7.6,5.7,1.2,"92,000","35,000",0.1,8.76,0.14,1.1,,59,87,206,119,30,32,120,40
06/08/2557 13:40,7.6,4.9,3.2,"9,200","2,400",0.06,0.29,0.07,<0.05,,57,60,173,113,28.4,30.7,165,45
24/12/2557 12:15,8.1,6.4,1.4,"9,200",460,0.03,0.45,0.05,<0.05,,69,54,130,44,25.4,30,74,18
18/02/2558 13:00,8.6,7.1,2,"2,200",170,0.05,0.32,0.01,<0.05,,74,28,190,162,30.3,35,245,48
08/05/2558 12:15,7.2,7,2.4,"1,700",790,0.2,0.27,<0.01,<0.05,,65,61,163,102,28.4,30,409,44
20/05/2558 13:40,7.5,6.4,1.6,"2,200",790,0.39,1.48,0.05,<0.05,,71,85,195,110,31.4,35,122,82
23/12/2558 13:15,7.1,7,1.6,"3,500",790,<0.01,0.58,0.04,<0.05,,71,46,142,96,27.6,29,135,44
16/02/2559 13:20,8,8.2,1.2,"1,300",490,<0.01,0.02,<0.01,<0.05,,89,33,178,145,31,33.6,202,29
08/03/2559 13:50,7.3,6.5,2.3,"9,200",790,0.07,0.32,0.01,<0.05,,60,42,154,12,27.8,29.5,145,79
18/05/2559 12:00,7.8,6.9,1.1,"5,400","1,300",0.1,0.33,0.04,<0.05,,69,2,26,24,32.5,41,309,167
30/11/2559 13:50,7.8,6.1,1.7,"16,000","3,500",0.02,0.08,0.03,<0.05,,62,68,168,100,32.1,34.2,144,198
08/02/2560 13:45,7.6,7.3,1.8,"1,300",790,0.01,<0.002,<0.01,<0.05,,73,53,133,80,32.1,38.2,113,225
24/05/2560 13:50,7.5,4.8,2,"11,000","4,600",0.1,0.36,0.01,<0.05,,60,124,192,68,32.3,26.8,102,281
19/07/2560 13:50,8.3,6.4,1.8,"5,400","1,300",0.09,0.34,<0.01,<0.05,,65,50,143,93,31.9,33,105,95
08/11/2560 14:00,7.2,6.5,1.1,790,170,0.03,0.28,0.01,0.12,,86,37,146,109,28.9,33.2,182,102
14/02/2561 14:10,7.4,7.2,1.9,"2,400",230,0.07,0.26,0.01,<0.10,,73,68,196,128,30,37,237,85
09/05/2561 14:10,7.4,6,0.5,"3,500","1,100",0.08,0.33,0.02,0.14,,69,61,185,124,29.9,29.2,178,185
11/07/2561 14:00,7.5,6.9,1.2,"3,500",790,0.06,0.34,<0.01,0.13,,80,99,204,105,28,33.8,178,198
21/11/2561 14:00,7.6,7,1.1,"5,400","1,300",0.11,0.4,0.01,<0.10,,68,72,165,93,26.6,29.8,196,75
13/02/2562 13:50,7.2,7.5,1.4,790,78,0.07,0.43,<0.01,<0.1,,88,20,152,132,30,36.3,284,136
15/05/2562 13:50,7.8,7.3,0.8,"2,400","2,400",0.13,0.39,0.02,0.19,,70,77,237,160,29.7,28.2,309,27
01/08/2562 14:00,7.6,7.1,1.5,"1,100",220,0.08,0.27,<0.01,<0.1,,86,21,165,144,31,31.1,253,26
08/01/2563 10:00,7.4,6,1.4,170,130,<0.05,0.15,<0.01,<0.5,,70,<10,357,350,28.6,30,498,2
13/02/2563 9:35,7.8,7.1,1.8,"3,500",700,0.07,0.17,<0.01,<0.5,,64,26,189,163,28,33,277,14
10/06/2563 11:40,7.4,6.5,1.1,"5,400",940,0.07,0.5,0.02,<0.06,,68,61,196,135,29,31,206,63
22/07/2563 12:55,7.1,6,1.6,"3,500","1,300",0.07,0.34,<0.01,<0.06,,67,122,259,137,29.5,36,140.9,144
03/12/2563 13:05,7.4,5.6,1.8,"54,000",360,0.09,0.05,0.01,<0.06,,59,95,163,68,26,29,109,161
17/02/2564 12:30,7.7,7,1.8,240,49,0.28,0.11,0.01,<0.06,,78,27,172,145,30.8,35,263,16
19/05/2564 12:15,6.2,7,1.4,"16,000",490,<0.05,0.24,<0.01,<0.06,,70,69,194,125,31.1,34,190,112
14/07/2564 8:08,7.2,6.1,1.2,490,230,0.06,0.4,0.03,<0.06,,86,49,165,116,27.6,28,143,87
24/11/2564 11:30,7,5.4,1.4,430,430,<0.05,0.24,0.01,<0.06,,84,40,139,99,26.8,27.5,149,77
